['Long Trail Belgian White', '12oz Btl', '1.49', '7.99', '31.96']
['Long Trail Blackbeary Wheat', '12oz Btl', '1.49', '7.99', '31.96']
['Long Trail Double Bag', '12oz Btl', '1.59', '7.99', '31.96']
['Long Trail Fall Survival Pack', '12oz Btl', '', '16.99', '33.98']
['Long Trail IPA', '12oz Btl', '1.49', '7.99', '31.96']
['Mad River Jamaica Brand Red Ale', '12oz Btl', '2.99', '9.99', '39.96']
['Mad River Steelhead Double IPA', '12oz Btl', '1.99', '9.99', '39.96']
['Mad River Steelhead Extra Stout', '12oz Btl', '1.99', '9.99', '39.96']
['Mad River Steelhead Scotch Porter', '12oz Btl', '2.99', '9.99', '39.96']
['Magic Hat #9', '22oz Btl', '2.49', '', '']
['Magic Hat #9 (12pk-13.99)', '12oz Btl', '1.79', '6.99', '27.96']
['Magic Hat Circus Boy', '12oz Btl', '1.79', '7.49', '29.96']
['Magic Hat Hex Ourtoberfest', '12oz Btl', '1.79', '7.99', '31.96']
['Magic Hat Howl', '12oz Btl', '1.79', '7.99', '31.96']
['Magic Hat IPA on Tour hI.P.A', '12oz Btl', '1.79', '8.99', '35.96']
['Magic Hat Night of the Living Dead', '12oz Btl', '', '14.99', '29.98']
['Magic Hat Variety Winterland', '12oz Btl', '', '17.99', '35.98']
['Maui Brewing Bikini Blonde Lager', '12oz Can', '2.29', '11.99', '47.96']
['Maui Brewing CoCoNut Porter', '12oz Can', '2.99', '10.99-4pk', '65.94']
['Maui Brewing Mana Wheat', '12oz Can', '2.49', '12.99', '51.96']
['McSorley\xa1\xa6s Irish Black Lager', '12oz Btl', '1.49', '7.49', '29.96']
['McSorley\xa1\xa6s Irish Pale Ale', '12oz Btl', '1.49', '7.49', '29.96']
['Mendocino Black Hawk Stout', '12oz Btl', '1.49', '6.99', '27.96']
['Mendocino Blue Heron Pale Ale', '12oz Btl', '1.49', '6.99', '27.96']
['Mendocino Eye of the Hawk', '12oz Btl', '1.49', '6.99', '27.96']
['Mendocino Imperial Barley Wine Ale', '12oz Btl', '2.49', '8.99-4pk', '53.94']
['Mendocino Imperial Stout', '12oz Btl', '2.49', '8.99-4pk', '53.94']
['Mendocino Red Tail Ale', '12oz Btl', '1.49', '6.99', '27.96']
['Mendocino Summer Ale', '12oz Btl', '', 'Seasonal', '']
['Mendocino White Hawk Select IPA', '12oz Btl', '1.49', '6.99', '27.96']
['Moylan\xa1\xa6s Dragoons Dry Irish Stout', '22oz Btl', '4.99', '', '']
['Moylan\xa1\xa6s Kilt Lifter Scotch Ale', '22oz Btl', '5.99', '', '']
['Nectar Ales Hemp Ale', '12oz Btl', '1.99', '10.99', '43.96']
['Nectar Ales Nectar IPA', '12oz Btl', '1.99', '10.99', '43.96']
['Nectar Ales Red Nectar', '12oz Btl', '1.99', '8.99', '35.96']
['New Belgium 1554 Black Ale', '22oz Btl', '3.49', '', '']
['New Belgium Fat Tire', '22oz Btl', '3.49', '', '']
['New Belgium Hoptober Golden Ale', '22oz Btl', '2.99', '', '']
['New Belgium Ranger IPA', '22oz Btl', '3.49', '', '']
['New Belgium Trippel Ale', '22oz Btl', '3.49', '', '']
['North Coast Acme IPA', '12oz Btl', '1.99', '10.99', '43.96']
['North Coast Acme Pale Ale', '12oz Btl', '1.79', '8.99', '35.96']
['North Coast Blue Star Wheat', '12oz Btl', '1.79', '8.99', '35.96']
['North Coast Brother Thelonious', '750ml Btl', '8.99', '', '']
['North Coast Brother Thelonious', '12oz Btl', '3.49', '11.99-4pk', '71.94']
['North Coast Grand Cru', '500ml Btl', '15.49', '', '']
['North Coast Old No. 38 Stout', '12oz Btl', '1.79', '8.99', '35.96']
['North Coast Old Rasputin Imp Stout', '12oz Btl', '2.49', '7.99-4pk', '47.94']
['North Coast Old Stock Ale', '12oz Btl', '3.49', '11.99-4pk', '71.94']
['North Coast PranQster Ale', '12oz Btl', '2.49', '7.99-4pk', '47.94']
['North Coast Red Seal Ale', '12oz Btl', '1.79', '8.99', '35.96']
['North Coast Scrimshaw Pilsner', '12oz Btl', '1.79', '8.99', '35.96']
['Ommegang Abbey Ale', '12oz Btl', '2.99', '9.99-4pk', '59.94']
['Ommegang Abbey Ale', '750ml Btl', '7.99', '', '']
['Ommegang Adoration', '750ml Btl', '14.99', '', '']
['Ommegang BPA Belgian Pale Ale', '12oz Btl', '2.99', '9.99-4pk', '59.94']
['Ommegang Gnomegang', '750ml Btl', '12.99', '', '']
['Ommegang Hennepin Ale', '750ml Btl', '7.99', '', '']
['Ommegang Hennepin Ale', '12oz Btl', '2.99', '9.99-4pk', '59.94']
['Ommegang Rare Vos', '750ml Btl', '7.99', '', '']
['Ommegang Rare Vos', '12oz Btl', '2.99', '9.99-4pk', '59.94']
['Ommegang Three Philosophers', '750ml Btl', '9.49', '', '']
['Ommegang Three Philosophers', '12oz Btl', '3.99', '14.49-4pk', '86.94']
['Ommegang Witte', '12oz Btl', '2.99', '9.99-4pk', '59.94']
